compound,formula,mz,rt,charge
DG_NH4(38:2),C41H75O5NH4,666.603104,15.7,1
PC(42:1),C50H98NO8P,872.710287,15.73,1
PC(44:2),C52H100NO8P,898.725937,15.74,1
PC(46:3),C54H102NO8P,924.741587,15.86,1
DG_Na(40:3),C43H77O5Na,697.5741493,15.88,1
DG_NH4(40:3),C43H77O5NH4,692.618754,15.88,1
PC(48:5),C56H102NO8P,948.741587,15.94,1
ceramide(d18:1/24:0),C42H83NO3,650.644574,15.98,1
Sphingosine(24:0)/sphinganine(24:1),C42H83NO3,650.644574,15.99,1
ceramide-Dihydro-(d18:0/24:1),C42H83NO3,650.644574,16,1
DG_Na(36:0),C39H75O5Na,647.5584993,16.08,1
DG_NH4(36:0),C39H75O5NH4,642.603104,16.08,1
DG_Na(38:1),C41H77O5Na,673.5741493,16.13,1
DG_NH4(38:1),C41H77O5NH4,668.618754,16.13,1
PC(42:0),C50H100NO8P,874.725937,16.16,1
DG_Na(42:4),C45H79O5Na,723.5897993,16.17,1
DG_NH4(42:4),C45H79O5NH4,718.634404,16.17,1
DG_Na(40:2),C43H79O5Na,699.5897993,16.18,1
DG_NH4(40:2),C43H79O5NH4,694.634404,16.18,1
PC(44:1),C52H102NO8P,900.741587,16.21,1
PC(48:4),C56H104NO8P,950.757237,16.25,1
PC(46:2),C54H104NO8P,926.757237,16.26,1
TG_Na(42:3),C45H79O6Na,739.5847143,16.28,1
TG_NH4(42:3),C45H79O6NH4,734.629319,16.28,1
DG_Na(42:3),C45H81O5Na,725.6054493,16.3,1
DG_NH4(42:3),C45H81O5NH4,720.650054,16.3,1
DG_Na(38:0),C41H79O5Na,675.5897993,16.56,1
DG_NH4(38:0),C41H79O5NH4,670.634404,16.56,1
PC(44:0),C52H104NO8P,902.757237,16.59,1
DG_Na(40:1),C43H81O5Na,701.6054493,16.61,1
DG_NH4(40:1),C43H81O5NH4,696.650054,16.61,1
DG_Na(42:2),C45H83O5Na,727.6210993,16.64,1
TG_Na(42:2),C45H81O6Na,741.6003643,16.64,1
DG_NH4(42:2),C45H83O5NH4,722.665704,16.64,1
TG_NH4(42:2),C45H81O6NH4,736.644969,16.64,1
PC(46:1),C54H106NO8P,928.772887,16.67,1
TG_Na(44:3),C47H83O6Na,767.6160143,16.74,1
TG_NH4(44:3),C47H83O6NH4,762.660619,16.74,1
DG_Na(40:0),C43H83O5Na,703.6210993,16.96,1
DG_NH4(40:0),C43H83O5NH4,698.665704,16.96,1
TG_Na(42:1),C45H83O6Na,743.6160143,17.01,1
TG_NH4(42:1),C45H83O6NH4,738.660619,17.01,1
DG_Na(42:1),C45H85O5Na,729.6367493,17.05,1
DG_NH4(42:1),C45H85O5NH4,724.681354,17.05,1
TG_Na(44:2),C47H85O6Na,769.6316643,17.09,1
TG_NH4(44:2),C47H85O6NH4,764.676269,17.09,1
DG_Na(42:0),C45H87O5Na,731.6523993,17.33,1
DG_NH4(42:0),C45H87O5NH4,726.697004,17.33,1
TG_Na(44:1),C47H87O6Na,771.6473143,17.36,1
TG_Na(50:6),C53H89O6Na,845.6629643,17.36,1
TG_NH4(44:1),C47H87O6NH4,766.691919,17.36,1
TG_NH4(50:6),C53H89O6NH4,840.707569,17.36,1
TG_Na(48:4),C51H89O6Na,821.6629643,17.44,1
TG_NH4(48:4),C51H89O6NH4,816.707569,17.44,1
TG_Na(46:2),C49H89O6Na,797.6629643,17.48,1
TG_NH4(46:2),C49H89O6NH4,792.707569,17.48,1
TG_Na(52:7),C55H91O6Na,871.6786143,17.51,1
TG_NH4(52:7),C55H91O6NH4,866.723219,17.51,1
TG_Na(50:5),C53H91O6Na,847.6786143,17.53,1
TG_NH4(50:5),C53H91O6NH4,842.723219,17.53,1
TG_Na(54:8),C57H93O6Na,897.6942643,17.54,1
TG_NH4(54:8),C57H93O6NH4,892.738869,17.54,1
TG_Na(48:3),C51H91O6Na,823.6786143,17.57,1
TG_NH4(48:3),C51H91O6NH4,818.723219,17.57,1
TG_Na(44:0),C47H89O6Na,773.6629643,17.65,1
TG_NH4(44:0),C47H89O6NH4,768.707569,17.65,1
TG_Na(50:4),C53H93O6Na,849.6942643,17.71,1
TG_NH4(50:4),C53H93O6NH4,844.738869,17.71,1
TG_Na(46:1),C49H91O6Na,799.6786143,17.72,1
TG_Na(52:6),C55H93O6Na,873.6942643,17.72,1
TG_NH4(46:1),C49H91O6NH4,794.723219,17.72,1
TG_NH4(52:6),C55H93O6NH4,868.738869,17.72,1
TG_Na(54:7),C57H95O6Na,899.7099143,17.77,1
TG_NH4(54:7),C57H95O6NH4,894.754519,17.77,1
TG_Na(48:2),C51H93O6Na,825.6942643,17.8,1
TG_Na(62:14),C65H97O6Na,997.7255643,17.8,1
TG_NH4(48:2),C51H93O6NH4,820.738869,17.8,1
TG_NH4(62:14),C65H97O6NH4,992.770169,17.8,1
TG_Na(52:5),C55H95O6Na,875.7099143,17.84,1
TG_NH4(52:5),C55H95O6NH4,870.754519,17.84,1
TG_Na(56:8),C59H97O6Na,925.7255643,17.85,1
TG_NH4(56:8),C59H97O6NH4,920.770169,17.85,1
TG_Na(66:18),C69H97O6Na,1045.725564,17.86,1
TG_NH4(66:18),C69H97O6NH4,1040.770169,17.86,1
TG_Na(64:15),C67H99O6Na,1023.741214,17.87,1
TG_NH4(64:15),C67H99O6NH4,1018.785819,17.87,1
TG_Na(50:3),C53H95O6Na,851.7099143,17.89,1
TG_NH4(50:3),C53H95O6NH4,846.754519,17.89,1
TG_Na(58:9),C61H99O6Na,951.7412143,17.91,1
TG_NH4(58:9),C61H99O6NH4,946.785819,17.91,1
TG_Na(54:6),C57H97O6Na,901.7255643,17.93,1
TG_NH4(54:6),C57H97O6NH4,896.770169,17.93,1
TG_Na(52:4),C55H97O6Na,877.7255643,17.96,1
TG_NH4(52:4),C55H97O6NH4,872.770169,17.96,1
TG_Na(46:0),C49H93O6Na,801.6942643,17.98,1
TG_NH4(46:0),C49H93O6NH4,796.738869,17.98,1
TG_Na(60:10),C63H101O6Na,977.7568643,18.01,1
TG_NH4(60:10),C63H101O6NH4,972.801469,18.01,1
TG_Na(48:1),C51H95O6Na,827.7099143,18.03,1
TG_NH4(48:1),C51H95O6NH4,822.754519,18.03,1
TG_Na(62:13),C65H99O6Na,999.7412143,18.04,1
TG_Na(66:17),C69H99O6Na,1047.741214,18.04,1
TG_NH4(62:13),C65H99O6NH4,994.785819,18.04,1
TG_NH4(66:17),C69H99O6NH4,1042.785819,18.04,1
TG_Na(56:7),C59H99O6Na,927.7412143,18.05,1
TG_NH4(56:7),C59H99O6NH4,922.785819,18.05,1
TG_Na(64:14),C67H101O6Na,1025.756864,18.09,1
TG_NH4(64:14),C67H101O6NH4,1020.801469,18.09,1
TG_Na(50:2),C53H97O6Na,853.7255643,18.1,1
TG_NH4(50:2),C53H97O6NH4,848.770169,18.1,1
CE_Na(18:4),C45H71O2Na,667.5424543,18.11,1
CE_NH4(18:4),C45H71O2NH4,662.587059,18.11,1
TG_Na(58:8),C61H101O6Na,953.7568643,18.12,1
TG_NH4(58:8),C61H101O6NH4,948.801469,18.12,1
TG_Na(54:5),C57H99O6Na,903.7412143,18.13,1
TG_Na(66:15),C69H103O6Na,1051.772514,18.13,1
TG_Na(68:18),C71H101O6Na,1073.756864,18.13,1
TG_NH4(54:5),C57H99O6NH4,898.785819,18.13,1
TG_NH4(66:15),C69H103O6NH4,1046.817119,18.13,1
TG_NH4(68:18),C71H101O6NH4,1068.801469,18.13,1
TG_Na(52:3),C55H99O6Na,879.7412143,18.15,1
TG_NH4(52:3),C55H99O6NH4,874.785819,18.15,1
TG_Na(70:18),C73H105O6Na,1101.788164,18.17,1
TG_NH4(70:18),C73H105O6NH4,1096.832769,18.17,1
TG_Na(56:6),C59H101O6Na,929.7568643,18.19,1
TG_NH4(56:6),C59H101O6NH4,924.801469,18.19,1
DG_Na(46:1),C49H93O5Na,785.6993493,18.2,1
TG_Na(60:9),C63H103O6Na,979.7725143,18.2,1
TG_Na(68:17),C71H103O6Na,1075.772514,18.2,1
DG_NH4(46:1),C49H93O5NH4,780.743954,18.2,1
TG_NH4(60:9),C63H103O6NH4,974.817119,18.2,1
TG_NH4(68:17),C71H103O6NH4,1070.817119,18.2,1
TG_Na(58:7),C61H103O6Na,955.7725143,18.21,1
TG_Na(62:10),C65H105O6Na,1005.788164,18.21,1
TG_NH4(58:7),C61H103O6NH4,950.817119,18.21,1
TG_NH4(62:10),C65H105O6NH4,1000.832769,18.21,1
CE_Na(20:5),C47H73O2Na,693.5581043,18.23,1
CE_NH4(20:5),C47H73O2NH4,688.602709,18.23,1
TG_Na(68:16),C71H105O6Na,1077.788164,18.25,1
TG_NH4(68:16),C71H105O6NH4,1072.832769,18.25,1
TG_Na(48:0),C51H97O6Na,829.7255643,18.26,1
TG_Na(54:4),C57H101O6Na,905.7568643,18.26,1
TG_NH4(48:0),C51H97O6NH4,824.770169,18.26,1
TG_NH4(54:4),C57H101O6NH4,900.801469,18.26,1
CE_Na(16:2),C43H71O2Na,643.5424543,18.27,1
CE_NH4(16:2),C43H71O2NH4,638.587059,18.27,1
TG_Na(62:12),C65H101O6Na,1001.756864,18.28,1
TG_NH4(62:12),C65H101O6NH4,996.801469,18.28,1
TG_Na(50:1),C53H99O6Na,855.7412143,18.29,1
CE_Na(18:3),C45H73O2Na,669.5581043,18.29,1
TG_NH4(50:1),C53H99O6NH4,850.785819,18.29,1
CE_NH4(18:3),C45H73O2NH4,664.602709,18.29,1
TG_Na(64:13),C67H103O6Na,1027.772514,18.3,1
TG_NH4(64:13),C67H103O6NH4,1022.817119,18.3,1
TG_Na(66:14),C69H105O6Na,1053.788164,18.36,1
TG_Na(70:17),C73H107O6Na,1103.803814,18.36,1
TG_NH4(66:14),C69H105O6NH4,1048.832769,18.36,1
TG_NH4(70:17),C73H107O6NH4,1098.848419,18.36,1
TG_Na(56:5),C59H103O6Na,931.7725143,18.38,1
TG_Na(60:8),C63H105O6Na,981.7881643,18.38,1
TG_NH4(56:5),C59H103O6NH4,926.817119,18.38,1
TG_NH4(60:8),C63H105O6NH4,976.832769,18.38,1
TG_Na(52:2),C55H101O6Na,881.7568643,18.39,1
TG_NH4(52:2),C55H101O6NH4,876.801469,18.39,1
TG_Na(62:9),C65H107O6Na,1007.803814,18.41,1
TG_NH4(62:9),C65H107O6NH4,1002.848419,18.41,1
TG_Na(68:15),C71H107O6Na,1079.803814,18.43,1
TG_NH4(68:15),C71H107O6NH4,1074.848419,18.43,1
DG_Na(46:0),C49H95O5Na,787.7149993,18.44,1
TG_Na(54:3),C57H103O6Na,907.7725143,18.44,1
CE_Na(22:6),C49H75O2Na,719.5737543,18.44,1
DG_NH4(46:0),C49H95O5NH4,782.759604,18.44,1
TG_NH4(54:3),C57H103O6NH4,902.817119,18.44,1
CE_NH4(22:6),C49H75O2NH4,714.618359,18.44,1
TG_Na(58:6),C61H105O6Na,957.7881643,18.45,1
TG_NH4(58:6),C61H105O6NH4,952.832769,18.45,1
TG_Na(72:18),C75H109O6Na,1129.819464,18.46,1
TG_NH4(72:18),C75H109O6NH4,1124.864069,18.46,1
TG_Na(60:7),C63H107O6Na,983.8038143,18.47,1
CE_Na(16:1),C43H73O2Na,645.5581043,18.47,1
TG_NH4(60:7),C63H107O6NH4,978.848419,18.47,1
CE_NH4(16:1),C43H73O2NH4,640.602709,18.47,1
CE_Na(22:5),C49H77O2Na,721.5894043,18.48,1
CE_NH4(22:5),C49H77O2NH4,716.634009,18.48,1
DG_Na(48:1),C51H97O5Na,813.7306493,18.49,1
TG_Na(56:4),C59H105O6Na,933.7881643,18.49,1
CE_Na(20:4),C47H75O2Na,695.5737543,18.49,1
DG_NH4(48:1),C51H97O5NH4,808.775254,18.49,1
TG_NH4(56:4),C59H105O6NH4,928.832769,18.49,1
CE_NH4(20:4),C47H75O2NH4,690.618359,18.49,1
TG_Na(62:8),C65H109O6Na,1009.819464,18.51,1
TG_NH4(62:8),C65H109O6NH4,1004.864069,18.51,1
TG_Na(50:0),C53H101O6Na,857.7568643,18.52,1
TG_NH4(50:0),C53H101O6NH4,852.801469,18.52,1
TG_Na(70:16),C73H109O6Na,1105.819464,18.53,1
TG_NH4(70:16),C73H109O6NH4,1100.864069,18.53,1
TG_Na(64:12),C67H105O6Na,1029.788164,18.54,1
TG_NH4(64:12),C67H105O6NH4,1024.832769,18.54,1
TG_Na(64:11),C67H107O6Na,1031.803814,18.55,1
TG_NH4(64:11),C67H107O6NH4,1026.848419,18.55,1
TG_Na(52:1),C55H103O6Na,883.7725143,18.56,1
TG_NH4(52:1),C55H103O6NH4,878.817119,18.56,1
TG_Na(58:5),C61H107O6Na,959.8038143,18.57,1
CE_Na(18:2),C45H75O2Na,671.5737543,18.57,1
TG_NH4(58:5),C61H107O6NH4,954.848419,18.57,1
CE_NH4(18:2),C45H75O2NH4,666.618359,18.57,1
TG_Na(54:2),C57H105O6Na,909.7881643,18.58,1
TG_Na(66:13),C69H107O6Na,1055.803814,18.58,1
TG_NH4(54:2),C57H105O6NH4,904.832769,18.58,1
TG_NH4(66:13),C69H107O6NH4,1050.848419,18.58,1
TG_Na(72:17),C75H111O6Na,1131.835114,18.59,1
TG_NH4(72:17),C75H111O6NH4,1126.879719,18.59,1
TG_Na(68:14),C71H109O6Na,1081.819464,18.61,1
TG_NH4(68:14),C71H109O6NH4,1076.864069,18.61,1
TG_Na(56:3),C59H107O6Na,935.8038143,18.62,1
TG_Na(60:6),C63H109O6Na,985.8194643,18.62,1
TG_NH4(56:3),C59H107O6NH4,930.848419,18.62,1
TG_NH4(60:6),C63H109O6NH4,980.864069,18.62,1
TG_Na(70:15),C73H111O6Na,1107.835114,18.64,1
TG_NH4(70:15),C73H111O6NH4,1102.879719,18.64,1
CE_Na(20:3),C47H77O2Na,697.5894043,18.65,1
CE_NH4(20:3),C47H77O2NH4,692.634009,18.65,1
DG_Na(48:0),C51H99O5Na,815.7462993,18.71,1
TG_Na(58:4),C61H109O6Na,961.8194643,18.71,1
TG_Na(60:5),C63H111O6Na,987.8351143,18.71,1
TG_Na(62:7),C65H111O6Na,1011.835114,18.71,1
DG_NH4(48:0),C51H99O5NH4,810.790904,18.71,1
TG_NH4(58:4),C61H109O6NH4,956.864069,18.71,1
TG_NH4(60:5),C63H111O6NH4,982.879719,18.71,1
TG_NH4(62:7),C65H111O6NH4,1006.879719,18.71,1
CE_Na(16:0),C43H75O2Na,647.5737543,18.72,1
CE_NH4(16:0),C43H75O2NH4,642.618359,18.72,1
CE_Na(22:4),C49H79O2Na,723.6050543,18.73,1
CE_NH4(22:4),C49H79O2NH4,718.649659,18.73,1
TG_Na(72:16),C75H113O6Na,1133.850764,18.76,1
TG_NH4(72:16),C75H113O6NH4,1128.895369,18.76,1
TG_Na(68:13),C71H111O6Na,1083.835114,18.81,1
TG_NH4(68:13),C71H111O6NH4,1078.879719,18.81,1
TG_Na(70:14),C73H113O6Na,1109.850764,18.85,1
TG_NH4(70:14),C73H113O6NH4,1104.895369,18.85,1
TG_Na(54:1),C57H107O6Na,911.8038143,18.86,1
TG_Na(56:2),C59H109O6Na,937.8194643,18.86,1
CE_Na(18:1),C45H77O2Na,673.5894043,18.86,1
CE_Na(24:5),C51H81O2Na,749.6207043,18.86,1
TG_NH4(54:1),C57H107O6NH4,906.848419,18.86,1
TG_NH4(56:2),C59H109O6NH4,932.864069,18.86,1
CE_NH4(18:1),C45H77O2NH4,668.634009,18.86,1
CE_NH4(24:5),C51H81O2NH4,744.665309,18.86,1
TG_Na(64:8),C67H113O6Na,1037.850764,18.87,1
TG_NH4(64:8),C67H113O6NH4,1032.895369,18.87,1
TG_Na(58:3),C61H111O6Na,963.8351143,18.88,1
TG_Na(72:15),C75H115O6Na,1135.866414,18.88,1
CE_Na(20:2),C47H79O2Na,699.6050543,18.88,1
TG_NH4(58:3),C61H111O6NH4,958.879719,18.88,1
TG_NH4(72:15),C75H115O6NH4,1130.911019,18.88,1
CE_NH4(20:2),C47H79O2NH4,694.649659,18.88,1
CE_Na(22:3),C49H81O2Na,725.6207043,18.93,1
CE_NH4(22:3),C49H81O2NH4,720.665309,18.93,1
TG_Na(60:4),C63H113O6Na,989.8507643,18.94,1
TG_Na(62:6),C65H113O6Na,1013.850764,18.94,1
TG_NH4(60:4),C63H113O6NH4,984.895369,18.94,1
TG_NH4(62:6),C65H113O6NH4,1008.895369,18.94,1
TG_Na(64:7),C67H115O6Na,1039.866414,19.02,1
TG_NH4(64:7),C67H115O6NH4,1034.911019,19.02,1
TG_Na(70:13),C73H115O6Na,1111.866414,19.04,1
CE_Na(24:4),C51H83O2Na,751.6363543,19.04,1
TG_NH4(70:13),C73H115O6NH4,1106.911019,19.04,1
CE_NH4(24:4),C51H83O2NH4,746.680959,19.04,1
TG_Na(72:14),C75H117O6Na,1137.882064,19.06,1
TG_NH4(72:14),C75H117O6NH4,1132.926669,19.06,1
TG_Na(58:2),C61H113O6Na,965.8507643,19.09,1
TG_Na(62:5),C65H115O6Na,1015.866414,19.09,1
TG_NH4(58:2),C61H113O6NH4,960.895369,19.09,1
TG_NH4(62:5),C65H115O6NH4,1010.911019,19.09,1
CE_Na(20:1),C47H81O2Na,701.6207043,19.11,1
CE_NH4(20:1),C47H81O2NH4,696.665309,19.11,1
TG_Na(60:3),C63H115O6Na,991.8664143,19.12,1
CE_Na(22:2),C49H83O2Na,727.6363543,19.12,1
TG_NH4(60:3),C63H115O6NH4,986.911019,19.12,1
CE_NH4(22:2),C49H83O2NH4,722.680959,19.12,1
TG_Na(64:6),C67H117O6Na,1041.882064,19.15,1
TG_NH4(64:6),C67H117O6NH4,1036.926669,19.15,1
TG_Na(62:4),C65H117O6Na,1017.882064,19.16,1
TG_NH4(62:4),C65H117O6NH4,1012.926669,19.16,1
TG_Na(64:5),C67H119O6Na,1043.897714,19.27,1
TG_NH4(64:5),C67H119O6NH4,1038.942319,19.27,1
TG_Na(72:13),C75H119O6Na,1139.897714,19.28,1
TG_NH4(72:13),C75H119O6NH4,1134.942319,19.28,1
TG_Na(62:3),C65H119O6Na,1019.897714,19.29,1
TG_NH4(62:3),C65H119O6NH4,1014.942319,19.29,1
TG_Na(60:2),C63H117O6Na,993.8820643,19.3,1
TG_NH4(60:2),C63H117O6NH4,988.926669,19.3,1
TG_Na(64:4),C67H121O6Na,1045.913364,19.36,1
CE_Na(22:1),C49H85O2Na,729.6520043,19.36,1
TG_NH4(64:4),C67H121O6NH4,1040.957969,19.36,1
CE_NH4(22:1),C49H85O2NH4,724.696609,19.36,1
CE_Na(24:2),C51H87O2Na,755.6676543,19.39,1
CE_NH4(24:2),C51H87O2NH4,750.712259,19.39,1
TG_Na(62:2),C65H121O6Na,1021.913364,19.46,1
TG_NH4(62:2),C65H121O6NH4,1016.957969,19.46,1
TG_Na(60:1),C63H119O6Na,995.8977143,19.47,1
TG_NH4(60:1),C63H119O6NH4,990.942319,19.47,1
TG_Na(64:3),C67H123O6Na,1047.929014,19.52,1
TG_NH4(64:3),C67H123O6NH4,1042.973619,19.52,1
CE_Na(24:1),C51H89O2Na,757.6833043,19.62,1
CE_NH4(24:1),C51H89O2NH4,752.727909,19.62,1
TG_Na(64:2),C67H125O6Na,1049.944664,19.68,1
TG_NH4(64:2),C67H125O6NH4,1044.989269,19.68,1
